parts_id,Line,Part,Description,Loc,Mfg,QOH,Qty  Available,Retail,Committed Qty,Seq #,Retail Alt,Repl Cost,Repl Cost Alt,Avg Cost Prc
1,ACL,1003,Oil Seal,,,1,1,3.31,0,1003,3.31,2.15,2.15,2.15
2,ACL,1029,Head Gasket,,,0,0,58.46,0,1029,58.46,38,38,38
3,ACL,1247,TIMING BELT,,,1,1,75,0,1247,75,40,40,40
4,ACL,1637,Diesel Injection Pump,,,0,0,"1,450.00",0,1637,"1,450.00","1,275.00","1,275.00","1,275.00"
5,ACL,1681,Throttle Adjuster,,,0,0,233.85,0,1681,233.85,152,152,152
6,ACL,2023,"FUEL FILTER, A4",,,0,0,52.31,0,2023,52.31,34,34,34
7,ACL,4495,Differential Seal,,,0,0,4.42,0,4495,4.42,2.87,2.87,2.87
8,ACL,4587,Front Coil Spring,,,0,0,100,0,4587,100,65,65,65
9,ACL,4664,Shock Absorber,,,0,0,120,0,4664,120,78,78,78
10,ACL,5415,Control Arm Bushing,,,0,0,20.02,0,5415,20.02,13.01,13.01,13.01
11,ACL,5700,Pinion Seal,,,0,0,59.23,0,5700,59.23,38.5,38.5,38.5
12,ACL,6821,FRONT ROTOR,,,0,0,69,0,6821,69,46,46,46
13,ACL,6824,FRONT ROTOR 313MM,,,0,0,92.28,0,6824,92.28,59.98,59.98,59.98
14,ACL,6995,Brake Shoes Spring Kit,,,0,0,17.69,0,6995,17.69,11.5,11.5,11.5
15,ACL,9274,Mass Air Flow Sensor (MAF),,,1,1,255,0,9274,255,225,225,225
16,ACL,9284,OIL PRESSURE SWI,,,1,1,4.62,0,9284,4.62,3,3,3
17,ACL,9318,A/T Speed Sensor,,,0,0,39.38,0,9318,39.38,25.6,25.6,25.6
18,ACL,9535,Turn Signal Lens LEFT,,,0,0,36.09,0,9535,36.09,23.46,23.46,23.46
19,ACL,9655,Wiper Blade Set,,,1,1,38.46,0,9655,38.46,25,25,25
20,ACL,9662,"WIPER BALDE,REAR",,,1,1,13.85,0,9662,13.85,9,9,9
21,ACL,M91014,SPARK PLUG,,,26,26,,0,50,,9.95,9.95,9.458
22,ACL,VO4446,FRONT REAR C/ARM BUSHING,,ACL,2,2,,0,50,,,,12.51
23,ACL,1000,MANIFOLD STUD,,,1,1,1.02,0,300,1.02,0.66,0.66,0.66
24,ACL,1002,REAR MAIN SEAL,,,2,2,19.64,0,600,19.64,6.75,6.75,6.75
25,ACL,1013,Head Gasket,,,1,1,38.46,0,800,38.46,25,25,25
26,ACL,1014,HEAD GASKET,,,1,1,39.63,0,1100,39.63,25.76,25.76,25.76
27,ACL,1035,HEAD GSK,,,1,1,,0,1400,,24.72,24.72,24.72
28,ACL,1036,HEAD GASKET,,,0,0,60.64,0,1700,60.64,27.31,27.31,27.31
